"item_id","title","rating","salesranking","image","productgroup"
"B0000261OB","Hello I Must Be Going",4.0,15930,"http://images.amazon.com/images/P/B0000261OB.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00002695C","I'M Your Man",4.2,6971,"http://images.amazon.com/images/P/B00002695C.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00002S5DF","Born Again",3.5,33771,"http://images.amazon.com/images/P/B00002S5DF.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00004NHJZ","Eloquence - Bach (Musikalisches Opfer)",3.0,40623,"http://images.amazon.com/images/P/B00004NHJZ.03._SCMZZZZZZZ_.gif","Music_CD"
"B00004WI74","Rory Gallagher - The Irish Tour '74",3.6,6562,"http://images.amazon.com/images/P/B00004WI74.03._SCMZZZZZZZ_.jpg","DVD"
"B00004WIID","Arien",2.4,18736,"http://images.amazon.com/images/P/B00004WIID.03._SCMZZZZZZZ_.jpg","Music_CD"
"B0000505HK","Robbie Williams - Where Egos Dare",3.4,9713,"http://images.amazon.com/images/P/B0000505HK.03._SCMZZZZZZZ_.jpg","DVD"
"B00005JIJT","Harald Schmidt Trifft Johann Sebastian Bach",3.5,31135,"http://images.amazon.com/images/P/B00005JIJT.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00005QZGP","Massive Attack - Eleven Promos",3.6,4051,"http://images.amazon.com/images/P/B00005QZGP.03._SCMZZZZZZZ_.jpg","DVD"
"B00005RDSY","AC/DC - Stiff Upper Lip Live",4.2,4050,"http://images.amazon.com/images/P/B00005RDSY.03._SCMZZZZZZZ_.jpg","DVD"
"B00005S6LX","Enchantment",3.8,25302,"http://images.amazon.com/images/P/B00005S6LX.03._SCMZZZZZZZ_.jpg","Music_CD"
"B00005TQ47","Bryan Adams - Live At Slane Castle",3.6,2244,"http://images.amazon.com/images/P/B00005TQ47.03._SCMZZZZZZZ_.jpg","DVD"
"B00005UJYW","Rockin' Christmas",3.7,1795,"http://images.amazon.com/images/P/B00005UJYW.03._SCMZZZZZZZ_.jpg","DVD"
